2021-06-24 13:06:713 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 13:06:753 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (02e419bd2fe8ecc219b36bddb720902d)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 13:06:517 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 13:06:296 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (b532f764a5d079a6c2fd19e5b519b2e9)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 13:06:17 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (b532f764a5d079a6c2fd19e5b519b2e9)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 13:06:44 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 13:06:792 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (476c2b7642893b090c39f065db314801)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 13:06:633 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (476c2b7642893b090c39f065db314801)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 14:06:608 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 14:06:955 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (607054bf183988e502908f8621c41e25)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 14:06:373 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (607054bf183988e502908f8621c41e25)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 14:06:689 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 14:06:29 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (fa5374b973f27fec7aa28611c99ba734)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 14:06:430 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (fa5374b973f27fec7aa28611c99ba734)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 14:06:376 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 14:06:127 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (1b815bab087438982100ea2db9e0f5d1)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 14:06:174 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (1b815bab087438982100ea2db9e0f5d1)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 14:06:101 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 14:06:104 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 14:06:612 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 14:06:212 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (ebe129e37075b558beed1796099a4579)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 14:06:785 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (ebe129e37075b558beed1796099a4579)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 16:06:765 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 16:06:877 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (9e7c88ea83748c665966cb4d4a55d017)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 16:06:666 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (9e7c88ea83748c665966cb4d4a55d017)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 16:06:273 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 16:06:888 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (992bea05ede8e478401ed558eaa2e239)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 16:06:531 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (992bea05ede8e478401ed558eaa2e239)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 16:06:953 INFO  AddCustomerPage :21 - Enter first name [[ChromeDriver: chrome on WINDOWS (992bea05ede8e478401ed558eaa2e239)] -> xpath: //input[@placeholder='First Name']]
2021-06-24 17:06:547 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 17:06:73 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (c32b6fb81a673850abe84efb6ae94207)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 17:06:393 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (c32b6fb81a673850abe84efb6ae94207)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 17:06:964 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (c32b6fb81a673850abe84efb6ae94207)] -> xpath: //input[@placeholder='First Name']]
2021-06-24 17:06:463 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (c32b6fb81a673850abe84efb6ae94207)] -> xpath: //input[@placeholder='Last Name']]
2021-06-24 17:06:122 INFO  AddCustomerPage :39 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (c32b6fb81a673850abe84efb6ae94207)] -> xpath: //input[@placeholder='Post Code']]
2021-06-24 20:06:908 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 20:06:653 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (cb226158f233f49e46a594f8756043dd)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 20:06:02 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (cb226158f233f49e46a594f8756043dd)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 20:06:585 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (cb226158f233f49e46a594f8756043dd)] -> xpath: //input[@placeholder='First Name']]
